"avg_r"	"#hitsAntd"	"totalNumAnnotations"	"#hitsAntdH_i"	"numAnnotationsH_i"	"csvListOfPairedRs"	"scoreDistribution"	"annotatorId"
0.4239	1	30	0	0	"9=0.1402, 10=0.5758, 4=-0.0205, 7=1.0"	"0=96.7%, 1=3.3%, 2=0.0%, 3=0.0%"	"8"
0.2304	1	20	0	0	"115=0.1864, 158=0.1811, 2=0.3185, 48=0.2355"	"0=75.0%, 1=5.0%, 2=20.0%, 3=0.0%"	"163"
0.3906	1	20	0	0	"98=0.6202, 4=0.201, 48=0.2182, 96=0.523"	"0=90.0%, 1=0.0%, 2=10.0%, 3=0.0%"	"119"
0.2763	5	100	0	0	"2=0.465, 133=-0.2269, 48=0.2317, 132=0.2858, 19=0.4196, 43=0.5704, 115=0.3514, 121=0.5218, 122=0.3573, 123=0.3843, 124=0.1614, 136=0.0898, 131=-0.0188"	"0=72.0%, 1=21.0%, 2=1.0%, 3=6.0%"	"120"
0.264	4	80	0	0	"48=0.1471, 134=0.5113, 43=0.3369, 120=0.5218, 122=0.2657, 2=0.1031, 124=0.0742, 125=0.3974, 126=0.5166, 127=0.0155, 128=0.0146"	"0=28.7%, 1=43.8%, 2=18.8%, 3=8.8%"	"121"
0.2588	3	60	0	0	"48=0.032, 43=0.629, 120=0.3573, 121=0.2657, 2=0.0746, 124=0.6882, 125=0.1925, 127=0.0348, 128=0.0548"	"0=81.7%, 1=18.3%, 2=0.0%, 3=0.0%"	"122"
0.3558	9	180	0	0	"146=0.7876, 150=0.1944, 153=-0.0203, 152=0.5789, 48=0.1377, 157=0.7259, 156=0.3508, 19=-0.0147, 149=0.7005, 115=0.5562, 131=0.3547, 145=0.4589, 124=0.2392, 136=0.2939, 120=0.3843, 2=0.4031, 139=0.4596, 100=-0.0794, 4=0.2483"	"0=71.7%, 1=18.9%, 2=9.4%, 3=0.0%"	"123"
0.1076	6	120	0	0	"2=-0.098, 48=-0.0349, 19=-0.4104, 117=0.0, 120=0.1614, 121=0.0742, 122=0.6882, 123=0.2392, 136=0.0, 126=0.1778, 134=0.229, 82=0.0, 131=0.2884, 100=-0.0987, 125=0.3974"	"0=95.0%, 1=3.3%, 2=0.8%, 3=0.8%"	"124"
0.2949	1	20	0	0	"121=0.3974, 122=0.1925, 2=0.1925, 124=0.3974"	"0=75.0%, 1=25.0%, 2=0.0%, 3=0.0%"	"125"
0.3673	2	40	0	0	"48=0.2321, 121=0.5166, 117=0.4771, 2=0.5713, 124=0.1778, 134=0.3804, 82=0.2157"	"0=72.5%, 1=25.0%, 2=0.0%, 3=2.5%"	"126"
